English,Chinese
"First of all, I'd like to extend my gratitude to the event organizer for putting me at the first place today to come clean about my daredevil experience.",首先呢，非常感谢这个主办方，能够把一个这个亡命之徒放在第一个做坦白交待。
"At the very beginning, I'd like to introduce the accomplices of my band of daredevil to you.",然后在康开始的时候，我先给大家介绍一下，就是我们这个亡命之徒的同伙。
"There are men, women, teenagers, and even people infected by virus in the band. ",呃在我们亡命之徒的这个同伙里面有男人，也有女人，然后也有孩子，甚至还有这个病毒的感染者。
And some of them are not human beings at all.,呃还有一众亡命之徒它并不是人。
The daredevils are very adventurous as well as aggressive in some cases.,然后亡命之徒呢总是很喜欢冒险，然后他们偶尔也比较喜欢好斗。
"However, they are always persistent to fight for their dreams.",这群亡命之徒呢，一直在为着自己的理想然后在坚持着。
So what I want to share with you today is how to become a daredevil in the O2O industry.,所以说就是我想跟各位今天来分享的就是如何去做一个O2O领域的亡命之徒。 
Let me brief you what is O2O first. ,先给大家讲一下什么叫做O2O。
O2O refers to the offline-to-online sale of services.,就是把线下的服
"O2O sells services, which is different from B2C that sells products.",不同是什么，就是O2O呢，卖的是服务；然后B2C呢，卖的是这个实物。
"You can buy a real product by logging in on shopping websites like JD.com or Taobao at home, and then receive what you buy at your doorstep.",在家里面啊，你通过上京东淘宝这一系列的网站，你可以买到一个实物，然后而且不用出门就可以把这个实物拿到手，并且使用。
But O2O is trying to sell a certain service on the Internet.,但是做O2O呢，就是把一个服务放到互联网上进行销售。
"For example, when we place an order for a meal or a haircut online, it would be very complicated to complete a closed-loop consumption procedure, that is to say we have to go offline for the rest of the order however we make the deal online.",然后比如说我们要买一个买一顿饭，对吧，我们要去理发，在网上先买一个理发，但是这里面有一个非常大的难度，就是无论我在线上怎么交易，我都要跑到线下面进行这个消费，然后把这个消费闭环做完整。
So there exist huge difficulties when we are embarking on O2O.,所以说在做这个O2O这件事来讲的话，是一个极其大的难度。 
Why do we have to do O2O like a daredevil and how difficult it is? ,干这个O2O呢，这个为什么会有亡命之徒的心态，然后这个O2O呢到底有多难。
Here are my answers.,我接下来给大家介绍一下。
The forerunner of O2O industry is the group-buying websites. ,就是干O2O的第一拨人是这个团购网站。
As we all know that one of the most popular internet sensations two or three years ago was group-buying. ,大家知道在两三年前最火的这个这个互联网就是团购。
Thousands of group-buying service providers could pop up online overnight.,一夜之间几万家团购同时上线。
Then everyone was snapping up the low-cost services and food online.,然后大家拼命地在网上购买着非常低廉的这个服务，然后大家可能也吃到很多廉价的好吃的，也用过很多廉价的这种服务。
"Here is a very typical example, in Shanghai, many people would flock to Da Tong Da for foot massage. ",比如说这个上海最最明显的就是经常有人去那个“大桶大”里面做这个足疗按摩。
"The regular foot massage service in Da Tong Da cost more than 100 RMB per person, but the price would be cut down to tens of or less than twenty RMB if you purchased the service via group-buying.",“大桶大”正常的话要100多块钱一个，如果通过团购可能几十块钱，甚至十几块钱就能享受到这项服务。
"However, after the period of frantic competitions among such websites, what we often hear about today is the shutdown of group-buying websites, don't we? ",但是呢，这个百团大战之后以及到今天，我们听到更多的是团购网站的死去，对吧。
I guess there are few of group-buying websites now.,现在估计存活的团购网站已经没有几个了。
So these are the pioneers of O2O.,这就是在O2O世界里面做第一拨的人。
Then who are the follow-up successors of O2O? ,那在O2O里面做第二波的人呢。
They just vanished before they got closer to the edge of the industry.,这个其实跟O2O还没沾上点边就已经挂了。
I'd like to give your some examples. ,这里面我给各位举几个例子啊。
